Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
4872,6.92,Pygmalio,3765,https://myanimelist.net/anime/3765/Pygmalio,TV,39,Nov 1990,Sep 1991,Finished Airing,Fall 1990,Mondays at 19:00 (JST),Nippon Animation,Manga,"Adventure, Fantasy",Shoujo,24 min. per ep.,G - All Ages,#11731,"2,398",5,"Nov 5, 1990","Sep 16, 1991"
4873,6.92,Qin Shi Mingyue: Tian Xing Jiu Ge,36732,https://myanimelist.net/anime/36732/Qin_Shi_Mingyue__Tian_Xing_Jiu_Ge,ONA,60,Mar 2016,Jul 2018,Finished Airing,N/A,N/A,Sparkly Key Animation Studio,Original,"Action, Fantasy",N/A,18 min. per ep.,PG-13 - Teens 13 or older,#12164,"2,116",8,"Mar 10, 2016","Jul 5, 2018"
4874,6.92,Release the Spyce,37221,https://myanimelist.net/anime/37221/Release_the_Spyce,TV,12,Oct 2018,Dec 2018,Finished Airing,Fall 2018,Sundays at 02:38 (JST),Lay-duce,Original,Action,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#2742,"76,466",219,"Oct 7, 2018","Dec 23, 2018"
4875,6.92,ReLIFE: Kanketsu-hen Specials,37921,https://myanimelist.net/anime/37921/ReLIFE__Kanketsu-hen_Specials,Special,2,Mar 2018,Mar 2018,Finished Airing,N/A,N/A,TMS Entertainment,Web manga,Slice of Life,N/A,2 min. per ep.,PG-13 - Teens 13 or older,#4728,"27,029",26,N/A,N/A
4876,6.92,Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,15807,https://myanimelist.net/anime/15807/Ro-Kyu-Bu__Tomoka_no_Ichigo_Sundae,OVA,1,Jun 2013,Jun 2013,Finished Airing,N/A,N/A,Project No.9,Light novel,"Comedy, Sports, Ecchi",N/A,25 min.,PG-13 - Teens 13 or older,#5516,"18,412",8,N/A,N/A
4877,6.92,Seto no Hanayome Fan Disc,5199,https://myanimelist.net/anime/5199/Seto_no_Hanayome_Fan_Disc,Special,2,Aug 2008,Aug 2008,Finished Airing,N/A,N/A,Gonzo,Manga,Comedy,N/A,6 min. per ep.,PG-13 - Teens 13 or older,#7410,"8,797",3,N/A,N/A
4878,6.92,Shin Hokuto no Ken,1357,https://myanimelist.net/anime/1357/Shin_Hokuto_no_Ken,OVA,3,Jul 2003,May 2004,Finished Airing,N/A,N/A,A.C.G.T.,Light novel,"Action, Drama, Sci-Fi",Shounen,58 min. per ep.,R+ - Mild Nudity,#5790,"16,163",21,"Jul 24, 2003","May 28, 2004"
4879,6.92,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",44037,https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,TV,13,Oct 2021,Dec 2021,Finished Airing,Fall 2021,Wednesdays at 22:30 (JST),"Studio Flad, Wolfsbane",Light novel,"Fantasy, Romance",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#700,"375,564","2,099","Oct 6, 2021","Dec 29, 2021"
4880,6.92,Shoujo☆Kageki Revue Starlight Specials,38050,https://myanimelist.net/anime/38050/Shoujo☆Kageki_Revue_Starlight_Specials,Special,3,Oct 2018,Feb 2019,Finished Airing,N/A,N/A,Kinema Citrus,Original,Comedy,N/A,8 min. per ep.,PG-13 - Teens 13 or older,#7304,"9,140",9,"Oct 24, 2018","Feb 27, 2019"
4881,6.92,SKET Dance: Tettei Bunseki Special,10775,https://myanimelist.net/anime/10775/SKET_Dance__Tettei_Bunseki_Special,Special,1,May 2011,May 2011,Finished Airing,N/A,N/A,Tatsunoko Production,Manga,N/A,Shounen,24 min.,PG-13 - Teens 13 or older,#8824,"5,740",3,N/A,N/A
4882,6.92,Starmyu in Halloween,36537,https://myanimelist.net/anime/36537/Starmyu_in_Halloween,OVA,1,Oct 2018,Oct 2018,Finished Airing,N/A,N/A,add some,Original,Slice of Life,N/A,26 min.,None,#10107,"3,862",14,N/A,N/A
4883,6.92,Starship Operators,342,https://myanimelist.net/anime/342/Starship_Operators,TV,13,Jan 2005,Mar 2005,Finished Airing,Winter 2005,Wednesdays at 18:00 (JST),J.C.Staff,Light novel,"Drama, Sci-Fi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#5642,"17,394",38,"Jan 5, 2005","Mar 30, 2005"
4884,6.92,Strike the Blood: Kieta Seisou-hen,40486,https://myanimelist.net/anime/40486/Strike_the_Blood__Kieta_Seisou-hen,OVA,1,Jan 2020,Jan 2020,Finished Airing,N/A,N/A,Connect,Light novel,"Action, Fantasy, Ecchi",N/A,26 min.,R+ - Mild Nudity,#4310,"33,079",31,N/A,N/A
4885,6.92,Sword Art Online: Alicization - War of Underworld Reflection,40489,https://myanimelist.net/anime/40489/Sword_Art_Online__Alicization_-_War_of_Underworld_Reflection,Special,1,Oct 2019,Oct 2019,Finished Airing,N/A,N/A,A-1 Pictures,Light novel,"Action, Adventure, Fantasy",N/A,24 min.,R - 17+ (violence &amp; profanity),#3217,"56,982",94,N/A,N/A
4886,6.92,Tantei Opera Milky Holmes: Summer Special,10923,https://myanimelist.net/anime/10923/Tantei_Opera_Milky_Holmes__Summer_Special,Special,1,Aug 2011,Aug 2011,Finished Airing,N/A,N/A,"J.C.Staff, Artland",Original,"Comedy, Mystery",N/A,23 min.,PG-13 - Teens 13 or older,#7843,"7,602",2,N/A,N/A
4887,6.92,Tate no Yuusha no Nariagari Season 4,57907,https://myanimelist.net/anime/57907/Tate_no_Yuusha_no_Nariagari_Season_4,TV,12,Jul 2025,Sep 2025,Finished Airing,Summer 2025,Wednesdays at 21:00 (JST),Kinema Citrus,Light novel,"Action, Adventure, Drama, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1706,"150,485",523,"Jul 9, 2025","Sep 24, 2025"
4888,6.92,Tezuka Osamu no Buddha: Owarinaki Tabi,20969,https://myanimelist.net/anime/20969/Tezuka_Osamu_no_Buddha__Owarinaki_Tabi,Movie,1,Feb 2014,Feb 2014,Finished Airing,N/A,N/A,Toei Animation,Manga,"Drama, Supernatural",N/A,1 hr. 25 min.,PG-13 - Teens 13 or older,#9436,"4,748",4,N/A,N/A
4889,6.92,Thermae Romae,12321,https://myanimelist.net/anime/12321/Thermae_Romae,Special,3,Jan 2012,Jan 2012,Finished Airing,N/A,N/A,DLE,Manga,Comedy,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,#4619,"28,391",36,"Jan 13, 2012","Jan 27, 2012"
4890,6.92,Tiger Mask W,32881,https://myanimelist.net/anime/32881/Tiger_Mask_W,TV,38,Oct 2016,Jul 2017,Finished Airing,Fall 2016,Sundays at 02:30 (JST),Toei Animation,Manga,"Drama, Sports",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#5035,"23,168",77,"Oct 2, 2016","Jul 2, 2017"
4891,6.92,Tsukuyomi: Moon Phase,343,https://myanimelist.net/anime/343/Tsukuyomi__Moon_Phase,TV,25,Oct 2004,Mar 2005,Finished Airing,Fall 2004,Tuesdays at 01:30 (JST),Shaft,Manga,"Comedy, Romance, Supernatural",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,#2648,"80,613",288,"Oct 5, 2004","Mar 29, 2005"
4892,6.92,Tu Bian Yingxiong Baba,34009,https://myanimelist.net/anime/34009/Tu_Bian_Yingxiong_Baba,ONA,12,Oct 2016,Dec 2016,Finished Airing,N/A,N/A,LAN Studio,Original,Comedy,N/A,13 min. per ep.,PG-13 - Teens 13 or older,#2837,"71,874",187,"Oct 5, 2016","Dec 21, 2016"
4893,6.92,Vivy: Fluorite Eye&#039;s Song Pilot,49681,https://myanimelist.net/anime/49681/Vivy__Fluorite_Eyes_Song_Pilot,ONA,1,Aug 2021,Aug 2021,Finished Airing,N/A,N/A,Wit Studio,Original,"Action, Sci-Fi",N/A,2 min.,PG-13 - Teens 13 or older,#12336,"2,020",2,N/A,N/A
4894,6.92,VS Knight Lamune &amp; 40 Fire,2087,https://myanimelist.net/anime/2087/VS_Knight_Lamune___40_Fire,TV,26,Apr 1996,Sep 1996,Finished Airing,Spring 1996,Wednesdays at 18:30 (JST),Ashi Productions,Original,"Comedy, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#9853,"4,165",15,"Apr 3, 1996","Sep 25, 1996"
4895,6.92,World Destruction: Sekai Bokumetsu no Rokunin,4415,https://myanimelist.net/anime/4415/World_Destruction__Sekai_Bokumetsu_no_Rokunin,TV,13,Jul 2008,Sep 2008,Finished Airing,Summer 2008,Unknown,Production I.G,Game,"Adventure, Fantasy",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#3319,"53,917",114,"Jul 8, 2008","Sep 30, 2008"
4896,6.92,Xi Xing Ji: Zaijian Wu Kong,42209,https://myanimelist.net/anime/42209/Xi_Xing_Ji__Zaijian_Wu_Kong,ONA,1,May 2020,May 2020,Finished Airing,N/A,N/A,BYMENT,Manga,"Action, Adventure, Fantasy",N/A,1 hr. 5 min.,PG-13 - Teens 13 or older,#14188,"1,172",3,N/A,N/A
4897,6.92,Yu☆Gi☆Oh! Zexal Second,15489,https://myanimelist.net/anime/15489/Yu☆Gi☆Oh_Zexal_Second,TV,73,Oct 2012,Mar 2014,Finished Airing,Fall 2012,Sundays at 17:30 (JST),Gallop,Manga,"Action, Fantasy",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#3711,"44,568",258,"Oct 7, 2012","Mar 23, 2014"
4898,6.92,Zatsu Tabi: That&#039;s Journey,55514,https://myanimelist.net/anime/55514/Zatsu_Tabi__Thats_Journey,TV,12,Apr 2025,Jun 2025,Finished Airing,Spring 2025,Mondays at 22:00 (JST),Makaria,Manga,"Adventure, Slice of Life",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#4145,"35,818",102,"Apr 7, 2025","Jun 23, 2025"
4899,6.92,"Zone of the Enders: Dolores, I",1249,https://myanimelist.net/anime/1249/Zone_of_the_Enders__Dolores_I,TV,26,Apr 2001,Sep 2001,Finished Airing,Spring 2001,Saturdays at 02:30 (JST),Sunrise,Game,"Adventure, Comedy, Sci-Fi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#6151,"13,784",39,"Apr 7, 2001","Sep 29, 2001"
4900,6.92,A-Channel,9776,https://myanimelist.net/anime/9776/A-Channel,TV,12,Apr 2011,Jun 2011,Finished Airing,Spring 2011,Fridays at 01:40 (JST),Studio Gokumi,4-koma manga,Comedy,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#2264,"103,801",312,"Apr 8, 2011","Jun 24, 2011"
4901,6.92,Aki no Kanade,29513,https://myanimelist.net/anime/29513/Aki_no_Kanade,Movie,1,Mar 2015,Mar 2015,Finished Airing,N/A,N/A,J.C.Staff,Original,Slice of Life,N/A,25 min.,PG-13 - Teens 13 or older,#5033,"23,187",26,N/A,N/A
4902,6.92,Anhe Zhuan,51727,https://myanimelist.net/anime/51727/Anhe_Zhuan,ONA,12,Aug 2023,Oct 2023,Finished Airing,N/A,N/A,Passion Paint Animation,Web novel,"Action, Adventure, Mystery",N/A,19 min. per ep.,PG-13 - Teens 13 or older,#13122,"1,559",4,"Aug 2, 2023","Oct 11, 2023"
4903,6.92,Batman: Gotham Knight,4094,https://myanimelist.net/anime/4094/Batman__Gotham_Knight,OVA,6,Jul 2008,Jul 2008,Finished Airing,N/A,N/A,"Bee Train, Production I.G, Madhouse, Studio 4°C",Other,"Action, Adventure",N/A,12 min. per ep.,R - 17+ (violence &amp; profanity),#4391,"31,581",68,N/A,N/A
4904,6.92,Biohazard: Degeneration,3446,https://myanimelist.net/anime/3446/Biohazard__Degeneration,Movie,1,Oct 2008,Oct 2008,Finished Airing,N/A,N/A,Digital Frontier,Game,"Action, Horror, Sci-Fi",N/A,1 hr. 36 min.,R - 17+ (violence &amp; profanity),#4002,"38,575",48,N/A,N/A
4905,6.92,Bouken Ou Beet,8,https://myanimelist.net/anime/8/Bouken_Ou_Beet,TV,52,Sep 2004,Sep 2005,Finished Airing,Fall 2004,Thursdays at 18:30 (JST),Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,23 min. per ep.,PG - Children,#5759,"16,433",17,"Sep 30, 2004","Sep 29, 2005"
4906,6.92,Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,36855,https://myanimelist.net/anime/36855/Chuunibyou_demo_Koi_ga_Shitai_Movie__Take_On_Me_Mini-Drama_-_Koukai_Chokuzen_no_Kaiko_Gekijou,ONA,24,Nov 2017,Jan 2018,Finished Airing,N/A,N/A,Kyoto Animation,Light novel,Comedy,N/A,20 sec. per ep.,G - All Ages,#5290,"20,578",37,"Nov 17, 2017","Jan 5, 2018"
4907,6.92,Code Geass: Hangyaku no Lelouch Picture Drama,1953,https://myanimelist.net/anime/1953/Code_Geass__Hangyaku_no_Lelouch_Picture_Drama,Special,9,Jan 2007,Sep 2007,Finished Airing,N/A,N/A,Sunrise,Original,Comedy,N/A,4 min. per ep.,PG-13 - Teens 13 or older,#3369,"52,606",77,"Jan 27, 2007","Sep 25, 2007"
4908,6.92,D.C.S.S: Da Capo Second Season,291,https://myanimelist.net/anime/291/DCSS__Da_Capo_Second_Season,TV,26,Jul 2005,Dec 2005,Finished Airing,Summer 2005,Sundays at 00:30 (JST),feel.,Visual novel,"Comedy, Drama, Romance, Supernatural",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#4192,"35,087",35,"Jul 2, 2005","Dec 24, 2005"
4909,6.92,Dai Mahou Touge,933,https://myanimelist.net/anime/933/Dai_Mahou_Touge,OVA,4,Mar 2006,Mar 2007,Finished Airing,N/A,N/A,Studio Barcelona,Manga,"Comedy, Fantasy",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#4121,"36,177",119,"Mar 20, 2006","Mar 21, 2007"
4910,6.92,Furusato Saisei: Nippon no Mukashibanashi,13163,https://myanimelist.net/anime/13163/Furusato_Saisei__Nippon_no_Mukashibanashi,TV,258,Apr 2012,Mar 2017,Finished Airing,Spring 2012,Sundays at 09:00 (JST),Tomason,Other,Supernatural,Kids,24 min. per ep.,G - All Ages,#6677,"11,347",29,"Apr 1, 2012","Mar 26, 2017"
4911,6.92,gdgd Fairies 2,16726,https://myanimelist.net/anime/16726/gdgd_Fairies_2,TV,12,Jan 2013,Mar 2013,Finished Airing,Winter 2013,Unknown,add some,Original,"Comedy, Fantasy",N/A,15 min. per ep.,PG - Children,#10651,"3,247",27,"Jan 10, 2013","Mar 28, 2013"
4912,6.92,Go! Saitama,49895,https://myanimelist.net/anime/49895/Go_Saitama,ONA,1,Sep 2021,Sep 2021,Finished Airing,N/A,N/A,Village Studio,Web manga,Comedy,N/A,1 min.,PG-13 - Teens 13 or older,#8388,"6,449",9,N/A,N/A
4913,6.92,Guilty Crown: 4-koma Gekijou,13561,https://myanimelist.net/anime/13561/Guilty_Crown__4-koma_Gekijou,Special,11,Jan 2012,Nov 2012,Finished Airing,N/A,N/A,Production I.G,4-koma manga,Comedy,N/A,1 min. per ep.,R - 17+ (violence &amp; profanity),#4668,"27,821",23,"Jan 25, 2012","Nov 21, 2012"
4914,6.92,Hashire Melos (Movie),4876,https://myanimelist.net/anime/4876/Hashire_Melos_Movie,Movie,1,Jun 1992,Jun 1992,Finished Airing,N/A,N/A,Visual 80,Novel,"Action, Adventure",N/A,1 hr. 47 min.,R+ - Mild Nudity,#7632,"8,145",13,N/A,N/A
4915,6.92,Healin&#039; Good♡Precure,40610,https://myanimelist.net/anime/40610/Healin_Good♡Precure,TV,45,Feb 2020,Feb 2021,Finished Airing,Winter 2020,Sundays at 08:30 (JST),Toei Animation,Original,Action,N/A,24 min. per ep.,G - All Ages,#6097,"14,107",88,"Feb 2, 2020","Feb 21, 2021"
4916,6.92,Huyao Xiao Hongniang: Mu Tiancheng,44097,https://myanimelist.net/anime/44097/Huyao_Xiao_Hongniang__Mu_Tiancheng,ONA,12,Dec 2020,Feb 2021,Finished Airing,N/A,N/A,"Haoliners Animation League, GARDEN Culture",Web manga,"Comedy, Drama, Romance, Supernatural",N/A,19 min. per ep.,R - 17+ (violence &amp; profanity),#11511,"2,540",1,"Dec 11, 2020","Feb 19, 2021"
4917,6.91,Ace wo Nerae! (1979),313,https://myanimelist.net/anime/313/Ace_wo_Nerae_1979,Movie,1,Sep 1979,Sep 1979,Finished Airing,N/A,N/A,Tokyo Movie Shinsha,Manga,"Drama, Romance, Sports",Shoujo,1 hr. 28 min.,PG-13 - Teens 13 or older,#8955,"5,496",11,N/A,N/A
4918,6.91,Aldnoah.Zero Part 2,27655,https://myanimelist.net/anime/27655/AldnoahZero_Part_2,TV,12,Jan 2015,Mar 2015,Finished Airing,Winter 2015,Sundays at 00:00 (JST),"A-1 Pictures, TROYCA",Original,Sci-Fi,N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#839,"321,473",763,"Jan 11, 2015","Mar 29, 2015"
4919,6.91,Aoki Ryuusei SPT Layzner,3079,https://myanimelist.net/anime/3079/Aoki_Ryuusei_SPT_Layzner,TV,38,Oct 1985,Jun 1986,Finished Airing,Fall 1985,Thursdays at 17:30 (JST),Sunrise,Original,Sci-Fi,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#7672,"8,035",36,"Oct 3, 1985","Jun 26, 1986"
4920,6.91,Chibi☆Devi!,11457,https://myanimelist.net/anime/11457/Chibi☆Devi,TV,75,Oct 2011,Feb 2014,Finished Airing,Fall 2011,Mondays at 18:20 (JST),SynergySP,Manga,"Slice of Life, Supernatural",Shoujo,5 min. per ep.,PG - Children,#5049,"22,956",82,"Oct 10, 2011","Feb 17, 2014"
4921,6.91,Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan,36566,https://myanimelist.net/anime/36566/Crayon_Shin-chan_Movie_26__Bakumori_Kung_Fu_Boys_-_Ramen_Tairan,Movie,1,Apr 2018,Apr 2018,Finished Airing,N/A,N/A,Shin-Ei Animation,Manga,Comedy,Seinen,1 hr. 45 min.,G - All Ages,#10534,"3,370",2,N/A,N/A
4922,6.91,Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi,38629,https://myanimelist.net/anime/38629/Crayon_Shin-chan_Movie_27__Shinkon_Ryokou_Hurricane_-_Ushinawareta_Hiroshi,Movie,1,Apr 2019,Apr 2019,Finished Airing,N/A,N/A,Shin-Ei Animation,Manga,Comedy,Seinen,1 hr. 39 min.,G - All Ages,#10933,"3,006",5,N/A,N/A
4923,6.91,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,44983,https://myanimelist.net/anime/44983/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_III_OVA,OVA,1,Apr 2021,Apr 2021,Finished Airing,N/A,N/A,J.C.Staff,Light novel,"Adventure, Comedy, Fantasy, Ecchi",N/A,27 min.,PG-13 - Teens 13 or older,#2525,"86,929",214,N/A,N/A
4924,6.91,Fractale,9314,https://myanimelist.net/anime/9314/Fractale,TV,11,Jan 2011,Apr 2011,Finished Airing,Winter 2011,Fridays at 00:45 (JST),A-1 Pictures,Original,"Adventure, Fantasy, Sci-Fi",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#2532,"86,564",204,"Jan 14, 2011","Apr 1, 2011"
4925,6.91,Girls &amp; Panzer: Kore ga Hontou no Anzio-sen desu! - Fushou Akiyama Yukari no Sensha Kouza,33658,https://myanimelist.net/anime/33658/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_desu_-_Fushou_Akiyama_Yukari_no_Sensha_Kouza,Special,1,Jul 2014,Jul 2014,Finished Airing,N/A,N/A,Actas,Original,N/A,N/A,13 min.,PG-13 - Teens 13 or older,#9100,"5,249",2,N/A,N/A
4926,6.91,Gokujou Seitokai,456,https://myanimelist.net/anime/456/Gokujou_Seitokai,TV,26,Apr 2005,Sep 2005,Finished Airing,Spring 2005,Unknown,J.C.Staff,Original,Comedy,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#5198,"21,421",63,"Apr 7, 2005","Sep 29, 2005"
4927,6.91,IDOLiSH7 Special Program: Kimi to Furikaeranai to!,37710,https://myanimelist.net/anime/37710/IDOLiSH7_Special_Program__Kimi_to_Furikaeranai_to,Special,1,Apr 2018,Apr 2018,Finished Airing,N/A,N/A,TROYCA,Game,Drama,N/A,23 min.,PG-13 - Teens 13 or older,#10460,"3,441",13,N/A,N/A
4928,6.91,Iron Kid,20945,https://myanimelist.net/anime/20945/Iron_Kid,TV,26,Apr 2006,Sep 2006,Finished Airing,Spring 2006,Unknown,Daewon Media,Original,"Action, Adventure, Comedy, Sci-Fi",N/A,24 min. per ep.,G - All Ages,#8897,"5,587",47,"Apr 6, 2006","Sep 28, 2006"
4929,6.91,Kaibutsu Oujo: Konsui Oujo,4082,https://myanimelist.net/anime/4082/Kaibutsu_Oujo__Konsui_Oujo,Special,1,Feb 2008,Feb 2008,Finished Airing,N/A,N/A,Madhouse,Manga,"Action, Comedy, Horror, Supernatural",Shounen,23 min.,PG-13 - Teens 13 or older,#6383,"12,616",12,N/A,N/A
4930,6.91,Keroro,21671,https://myanimelist.net/anime/21671/Keroro,TV,23,Mar 2014,Sep 2014,Finished Airing,Spring 2014,Unknown,Sunrise,Manga,"Comedy, Sci-Fi",Shounen,3 min. per ep.,PG-13 - Teens 13 or older,#6886,"10,515",26,"Mar 22, 2014","Sep 6, 2014"
4931,6.91,Kidou Senshi Z Gundam II: Koibito-tachi,1968,https://myanimelist.net/anime/1968/Kidou_Senshi_Z_Gundam_II__Koibito-tachi,Movie,1,Oct 2005,Oct 2005,Finished Airing,N/A,N/A,Sunrise,Original,"Drama, Romance, Sci-Fi",N/A,1 hr. 37 min.,PG-13 - Teens 13 or older,#6326,"12,837",1,N/A,N/A
4932,6.91,KimiKiss Pure Rouge: Love Fighter,4205,https://myanimelist.net/anime/4205/KimiKiss_Pure_Rouge__Love_Fighter,Special,1,Aug 2008,Aug 2008,Finished Airing,N/A,N/A,J.C.Staff,Visual novel,Romance,N/A,24 min.,PG-13 - Teens 13 or older,#6282,"13,087",5,N/A,N/A
4933,6.91,Kinnikuman II Sei,1707,https://myanimelist.net/anime/1707/Kinnikuman_II_Sei,TV,51,Jan 2002,Dec 2002,Finished Airing,Winter 2002,Wednesdays at 18:00 (JST),Toei Animation,Manga,"Comedy, Sci-Fi, Sports",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#5421,"19,274",70,"Jan 9, 2002","Dec 25, 2002"
4934,6.91,Lost Song,34338,https://myanimelist.net/anime/34338/Lost_Song,TV,12,Apr 2018,Jun 2018,Finished Airing,Spring 2018,Sundays at 01:30 (JST),LIDENFILMS,Original,"Drama, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#3365,"52,687",202,"Apr 8, 2018","Jun 16, 2018"
4935,6.91,Lupin III: Lupin Ansatsu Shirei,1438,https://myanimelist.net/anime/1438/Lupin_III__Lupin_Ansatsu_Shirei,Special,1,Jul 1993,Jul 1993,Finished Airing,N/A,N/A,Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery",Seinen,1 hr. 30 min.,PG-13 - Teens 13 or older,#7230,"9,353",5,N/A,N/A
4936,6.91,Mahou no Princess Minky Momo,518,https://myanimelist.net/anime/518/Mahou_no_Princess_Minky_Momo,TV,63,Mar 1982,May 1983,Finished Airing,Spring 1982,Thursdays at 17:55 (JST),Ashi Productions,Original,Fantasy,N/A,23 min. per ep.,G - All Ages,#6719,"11,166",48,"Mar 18, 1982","May 26, 1983"
4937,6.91,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,39948,https://myanimelist.net/anime/39948/Muhyo_to_Rouji_no_Mahouritsu_Soudan_Jimusho_2nd_Season,TV,12,Jul 2020,Sep 2020,Finished Airing,Summer 2020,Tuesdays at 19:00 (JST),Studio Deen,Manga,"Mystery, Supernatural",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#4628,"28,279",43,"Jul 7, 2020","Sep 22, 2020"
4938,6.91,Murenase! Seton Gakuen,40483,https://myanimelist.net/anime/40483/Murenase_Seton_Gakuen,TV,12,Jan 2020,Mar 2020,Finished Airing,Winter 2020,Tuesdays at 00:30 (JST),Studio Gokumi,Web manga,"Comedy, Ecchi",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1260,"214,538",547,"Jan 7, 2020","Mar 24, 2020"
4939,6.91,Oroka na Tenshi wa Akuma to Odoru,55129,https://myanimelist.net/anime/55129/Oroka_na_Tenshi_wa_Akuma_to_Odoru,TV,12,Jan 2024,Mar 2024,Finished Airing,Winter 2024,Tuesdays at 01:30 (JST),Children&#039;s Playground Entertainment,Manga,"Comedy, Romance, Supernatural",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#1818,"139,277",438,"Jan 9, 2024","Mar 26, 2024"
4940,6.91,Persona 5 the Animation Specials,39591,https://myanimelist.net/anime/39591/Persona_5_the_Animation_Specials,Special,2,May 2019,Jun 2019,Finished Airing,N/A,N/A,CloverWorks,Game,Comedy,N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#5781,"16,272",20,"May 29, 2019","Jun 26, 2019"
4941,6.91,Pokemon Movie 04: Celebi Toki wo Koeta Deai,1119,https://myanimelist.net/anime/1119/Pokemon_Movie_04__Celebi_Toki_wo_Koeta_Deai,Movie,1,Jul 2001,Jul 2001,Finished Airing,N/A,N/A,OLM,Game,"Adventure, Comedy, Drama, Fantasy",Kids,1 hr. 19 min.,PG - Children,#1608,"163,332",74,N/A,N/A
4942,6.91,Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,11569,https://myanimelist.net/anime/11569/Precure_All_Stars_DX_the_Dance_Live♥__Miracle_Dance_Stage_e_Youkoso,OVA,1,Nov 2011,Nov 2011,Finished Airing,N/A,N/A,Toei Animation,Original,N/A,N/A,14 min.,G - All Ages,#10852,"3,080",4,N/A,N/A
4943,6.91,Puniru wa Kawaii Slime,57517,https://myanimelist.net/anime/57517/Puniru_wa_Kawaii_Slime,TV,12,Oct 2024,Dec 2024,Finished Airing,Fall 2024,Sundays at 23:45 (JST),TOHO animation STUDIO,Manga,Comedy,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#6114,"14,022",49,"Oct 6, 2024","Dec 22, 2024"
4944,6.91,Rockman.EXE,1710,https://myanimelist.net/anime/1710/RockmanEXE,TV,56,Mar 2002,Mar 2003,Finished Airing,Spring 2002,Mondays at 18:30 (JST),Xebec,Game,"Action, Adventure, Comedy, Sci-Fi",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#3837,"42,111",157,"Mar 4, 2002","Mar 31, 2003"
4945,6.91,Sekai Meisaku Douwa: Hakuchou no Mizuumi,3186,https://myanimelist.net/anime/3186/Sekai_Meisaku_Douwa__Hakuchou_no_Mizuumi,Movie,1,Mar 1981,Mar 1981,Finished Airing,N/A,N/A,Toei Animation,Other,"Drama, Fantasy, Romance",N/A,1 hr. 15 min.,G - All Ages,#9560,"4,531",21,N/A,N/A
4946,6.91,Servamp Specials,33994,https://myanimelist.net/anime/33994/Servamp_Specials,Special,4,Nov 2016,Feb 2017,Finished Airing,N/A,N/A,Platinum Vision,Manga,"Comedy, Fantasy",Josei,5 min. per ep.,PG-13 - Teens 13 or older,#5363,"19,912",23,"Nov 25, 2016","Feb 24, 2017"
